year,unitid,instnm,rating,rating_analysis,state_flagship,stabbr,fips,region,opeid,sector,iclevel,control,hbcu,hospital,medical,tribal,pset4flg,c21basic,pell_total_ftft,pell_pct_ftft,pell_total_undergrad,pell_pct_undergrad,eftotlt2,eftotlm2,eftotlw2,efaiant2,efasiat2,efbkaat2,efhispt2,efnhpit2,efwhitt2,ef2mort2,efunknt2,efnralt2,eftotlt24,eftotlm24,eftotlw24,efaiant24,efasiat24,efbkaat24,efhispt24,efnhpit24,efwhitt24,ef2mort24,efunknt24,efnralt24,urm_enroll_undergrad_t,urm_pct_undergrad_t,aian_pct_undergrad_t,asia_pct_undergrad_t,bkaa_pct_undergrad_t,hisp_pct_undergrad_t,nhpi_pct_undergrad_t,nral_pct_undergrad_t,whit_pct_undergrad_t,unkn_pct_undergrad_t,two_more_pct_undergrad_t,urm_enroll_undergrad_ftft,urm_pct_undergrad_ftft,aian_pct_undergrad_ftft,asia_pct_undergrad_ftft,bkaa_pct_undergrad_ftft,hisp_pct_undergrad_ftft,nhpi_pct_undergrad_ftft,nral_pct_undergrad_ftft,whit_pct_undergrad_ftft,unkn_pct_undergrad_ftft,two_more_pct_undergrad_ftft,fteug,fall_under_oth_trans,fall_ft_under_oth_trans,grtotlt_adj_cohort_4yr,grtotlt_completers_150pct_4yr,grtotlt_grad_rate_150pct_4yr,total_title_iv,total_title_iv_0_30,total_title_iv_30_48,total_title_iv_48_75,total_title_iv_75_110,total_title_iv_110_plus,total_grant_aid,total_grant_aid_0_30,total_grant_aid_30_48,total_grant_aid_48_75,total_grant_aid_75_110,total_grant_aid_110_plus,net_price_0_30,net_price_30_48,net_price_48_75,net_price_75_110,net_price_110_plus,endowment_end,endow_per_fte,pell_share_calc,pell_share_orig
2009,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,155,.2,,,5893,,,,,,,,,,,,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5137,615,483,774,382,.49354005,,,,,,,,,,,,,,,,,,67988824,13235.122,,
2010,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,209,.27000001,1683,.27504495,6119,,,,,,,,,,,,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5407,758,568,600,292,.48666668,344,115,56,60,51,62,,,,,,,5595.022,7508.6812,12063.291,13546.564,13678.799,69033104,12767.357,.27504495,.28
2011,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,201,.34,1907,.31756869,6005,3192,2813,83,203,888,153,1,4287,89,110,191,600,350,250,6,27,92,23,0,415,13,11,13,1125,.18734388,.013821815,.033805162,.14787677,.025478767,.0001665279,.031806827,.7139051,.018318068,.014820983,121,.20166667,.0099999998,.045000002,.15333334,.038333334,0,.021666666,.69166666,.018333333,.021666666,5211,687,525,652,317,.48619631,303,102,48,53,48,52,,,,,,,7658.3721,11587.597,13660.685,14293.459,15127.515,67326872,12920.145,.31756869,.31999999
2012,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,206,.31999999,1985,.33445662,5935,3213,2722,92,211,842,161,2,4191,81,163,192,652,384,268,12,27,86,26,0,455,3,29,14,1097,.18483572,.015501264,.035551812,.14187026,.027127212,.000336984,.032350462,.70614994,.027464196,.013647852,124,.19018404,.018404908,.041411042,.13190185,.039877299,0,.021472393,.69785279,.044478528,.0046012271,5180,776,583,615,319,.51869917,307,110,41,60,56,40,186,109,41,30,5,1,11056.411,12625.058,14616.99,14755.714,15624.813,77755832,15010.778,.33445662,.33000001
2013,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,192,.31,1930,.3281197,5882,3197,2685,83,203,811,198,1,4117,85,191,193,615,336,279,7,21,91,28,0,432,9,17,10,1093,.18582115,.014110846,.034512069,.13787827,.033662021,.0001700102,.03281197,.69993198,.032471947,.014450867,126,.20487805,.011382114,.034146342,.14796747,.045528457,0,.016260162,.70243901,.027642276,.014634146,5000,672,526,638,368,.57680249,294,97,52,48,51,46,176,97,52,26,1,0,17079.447,19040.111,22166.447,23620.043,23670.166,81515320,16303.064,.3281197,.33000001
2014,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,160,.25,1750,.30723315,5696,3177,2519,81,215,741,195,1,3960,93,194,216,638,387,251,10,23,70,15,0,471,13,11,25,1018,.1787219,.014220506,.037745785,.13009129,.03423455,.0001755618,.037921347,.6952247,.034058988,.016327247,95,.14890282,.015673982,.036050156,.10971787,.023510972,0,.039184954,.73824453,.017241379,.020376176,4895,705,546,714,408,.5714286,301,82,45,55,62,57,153,82,44,25,2,0,17388.193,19244.199,22637.547,23906.482,24107.502,84938592,17352.113,.30723315,.31
2015,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,192,.27000001,1786,.31790674,5618,3210,2408,80,220,692,214,1,3913,94,201,203,714,437,277,8,25,69,32,0,543,12,13,12,987,.1756853,.014239943,.039159842,.12317551,.038091846,.00017799929,.036133856,.69651121,.035777856,.016731933,109,.15266107,.011204482,.035014007,.096638657,.044817928,0,.016806724,.76050419,.018207284,.016806724,4910,685,554,1026,623,.60721248,331,82,44,63,66,76,176,82,44,42,6,2,17388.949,19641.805,21865.018,23762.16,23769.002,79883680,16269.589,.31790674,.31999999
2016,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,260,.25,1773,.29486114,6013,3449,2564,78,235,729,244,0,4189,119,183,236,1027,616,411,9,32,97,45,0,780,25,18,21,1051,.17478795,.012971894,.039081991,.12123732,.040578745,0,.039248295,.69665724,.030434059,.019790454,151,.14703019,.0087633887,.031158715,.094449855,.043816943,0,.020447906,.75949365,.017526777,.024342746,5290,717,605,,,,401,112,56,75,75,83,223,112,55,49,7,0,18014.262,20320.891,22897.096,24627.35,24881.135,84758256,16022.354,.29486114,.28999999
2017,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,242,.2,1799,.2764715,6507,3781,2726,79,271,735,265,0,4632,119,200,206,1203,731,472,12,50,83,49,0,935,22,23,29,1079,.16582142,.012140771,.041647457,.11295528,.040725373,0,.031658214,.7118488,.03073613,.018287998,144,.11970074,.0099750627,.041562758,.068994179,.040731505,0,.0241064,.77722359,.01911887,.018287614,5836,777,635,,,,485,93,68,88,118,118,162,87,41,29,5,0,17807.838,19270.461,23054.641,24294.209,24533.91,84311336,14446.768,.2764715,.28
2018,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,363,.27000001,1913,.26981664,7090,4097,2993,82,292,776,327,7,5215,185,27,179,1341,860,481,14,42,105,60,1,1036,57,0,26,1192,.16812412,.011565586,.041184768,.10944993,.046121299,.00098730612,.025246827,.73554301,.0038081806,.026093088,180,.13422818,.010439971,.031319909,.078299776,.04474273,.00074571214,.019388516,.7725578,0,.042505592,6447,810,642,,,,585,134,93,122,107,129,319,133,92,84,9,1,18948.227,20491.189,23086.172,25036.994,25254.951,85742344,13299.572,.26981664,.27000001
2019,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,337,.23999999,1945,.25355235,7671,4421,3250,75,301,765,402,6,5450,225,268,179,1428,905,523,5,48,98,83,0,1038,59,62,35,1248,.16269065,.0097770821,.039238691,.099726245,.052405164,.00078216661,.023334637,.71046799,.034936775,.029331248,186,.13025211,.0035014006,.033613447,.068627454,.05812325,0,.024509804,.72689074,.043417368,.041316528,7048,877,681,,,,533,146,80,93,98,116,476,146,80,83,78,89,13804.476,14409.283,17301.75,18623.84,20405.369,81967688,11629.922,.25355235,.25
2020,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,343,.23,1919,.24020529,7989,4614,3375,83,281,715,451,11,5663,287,312,186,1489,960,529,10,44,103,76,5,1080,79,58,34,1260,.15771686,.010389285,.035173364,.089498058,.056452621,.0013768933,.023282012,.70884967,.039053697,.035924397,194,.13028878,.0067159166,.029550033,.06917394,.051040966,.0033579583,.022834117,.72531903,.038952317,.053055741,7306,793,605,,,,538,117,89,97,107,128,494,115,89,89,98,103,14359.032,16819.799,17964.855,20134.879,20922.83,79887680,10934.53,.24020529,.23999999
2021,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,324,.23999999,1908,.23769777,8027,4717,3310,67,293,738,478,8,5709,340,225,169,1328,840,488,6,41,112,84,2,955,80,33,15,1291,.1608322,.0083468296,.036501806,.091939703,.059549022,.00099663634,.021053944,.71122462,.028030397,.042357046,204,.15361446,.0045180721,.030873494,.084337346,.063253015,.001506024,.011295181,.71912652,.024849398,.060240965,7342,736,577,,,,515,141,72,99,84,119,492,141,71,94,77,109,14654,14646,18572,19206,19423,100321016,13663.99,.23769777,.23999999
2022,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,,,,,7569,4475,3094,60,283,673,463,9,5384,336,228,133,1191,772,419,12,47,67,74,2,879,69,28,13,1205,.15920201,.0079270713,.037389353,.088915311,.061170563,.0011890606,.017571675,.71132249,.030122869,.044391599,155,.13014273,.010075566,.039462637,.056255247,.06213266,.0016792611,.010915197,.73803526,.023509655,.057934508,,627,455,,,,,,,,,,,,,,,,,,,,,,,,
2009,100751,The University of Alabama,6. Competitive+,4. Very Competitive+ and Under,1,AL,Alabama,Southeast,105100,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,714,.14,,,22341,,,,,,,,,,,,5034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21916,1343,1133,5062,3396,.67088109,,,,,,,,,,,,,,,,,,649963136,29657.016,,
2010,100751,The University of Alabama,6. Competitive+,4. Very Competitive+ and Under,1,AL,Alabama,Southeast,105100,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,943,.19,4913,.20729958,23700,,,,,,,,,,,,5096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23065,1186,1019,5443,3740,.68712109,1266,459,225,226,219,137,,,,,,,14195.263,15698.496,17887.852,16399.588,13554.05,788352000,34179.578,.20729958,.20999999
2011,100751,The University of Alabama,6. Competitive+,4. Very Competitive+ and Under,1,AL,Alabama,Southeast,105100,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,1162,.20999999,5601,.22510248,24882,11836,13046,135,267,3011,596,10,20192,136,57,478,5489,2470,3019,25,67,651,200,8,4368,91,20,59,3752,.15079173,.0054256087,.010730648,.12101118,.023953058,.00040189695,.019210674,.81151032,.0022908126,.0054657985,884,.16104937,.0045545637,.01220623,.11860084,.036436509,.0014574603,.01074877,.79577339,.003643651,.016578611,23883,1433,1222,5665,3845,.67872906,1373,498,247,226,241,161,,,,,,,16650.994,18838.584,22071.154,23394.555,24622.74,743570048,31133.863,.22510248,.23
2012,100751,The University of Alabama,6. Competitive+,4. Very Competitive+ and Under,1,AL,Alabama,Southeast,105100,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,1134,.2,5896,.22474651,26234,12275,13959,135,295,3261,629,14,20824,296,87,693,5703,2554,3149,29,58,680,148,4,4524,126,1,133,4039,.15396051,.0051459935,.011244949,.12430434,.02397652,.0005336586,.026416101,.79377908,.003316307,.011283068,861,.15097317,.0050850431,.010170086,.11923549,.025951253,.00070138526,.023321059,.79326671,.00017534631,.022093635,25371,1460,1195,6302,4530,.71881944,1505,447,209,229,268,352,759,442,196,109,11,1,18502.443,19900.354,22916.709,24637.121,24938.283,798676736,31479.908,.22474651,.22
2013,100751,The University of Alabama,6. Competitive+,4. Very Competitive+ and Under,1,AL,Alabama,Southeast,105100,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,1128,.18000001,5905,.2106972,28026,12997,15029,120,308,3281,782,23,22038,459,95,920,6338,2797,3541,14,70,580,242,8,5048,162,13,201,4206,.15007493,.0042817383,.010989795,.11706986,.027902661,.00082066655,.032826662,.78634125,.0033897096,.01637765,844,.13316503,.0022088988,.011044494,.091511518,.038182393,.0012622279,.031713475,.79646575,.0020511202,.025560113,27148,1481,1203,6385,4540,.71104151,1440,399,196,235,260,350,1083,394,190,180,137,182,21071.879,23720.289,25541.072,27784.994,28081.074,719933184,26518.83,.2106972,.20999999
2014,100751,The University of Alabama,6. Competitive+,4. Very Competitive+ and Under,1,AL,Alabama,Southeast,105100,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,1147,.18000001,6006,.20400815,29440,13556,15884,127,332,3321,908,31,22958,616,86,1061,6428,2820,3608,30,75,607,242,6,5131,176,0,161,4387,.14901495,.0043138587,.011277174,.11280571,.030842392,.0010529892,.036039401,.77982336,.0029211957,.020923913,885,.13767891,.0046670814,.011667704,.094430618,.037647791,.0009334163,.025046671,.79822654,0,.027380211,28331,1474,1144,6791,4899,.72139597,1316,354,199,208,214,341,1012,351,196,165,122,178,20509.709,21581.051,23509.012,26679.639,26656.795,762938048,26929.443,.20400815,.2
2015,100751,The University of Alabama,6. Competitive+,4. Very Competitive+ and Under,1,AL,Alabama,Southeast,105100,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,1257,.19,6178,.2008975,30752,14066,16686,113,327,3404,1058,28,23768,796,83,1175,6794,2921,3873,21,65,570,285,4,5498,248,10,93,4603,.14968131,.0036745577,.010633455,.11069199,.034404267,.0009105099,.038208898,.77289283,.0026990115,.025884496,880,.12952605,.0030909625,.0095672654,.083897553,.041948777,.00058875477,.013688548,.80924344,.001471887,.036502797,29433,1501,1151,7169,5178,.72227645,1282,377,191,198,209,307,1043,375,190,168,136,174,19681.709,21980.17,24294.592,25759.633,26905.441,750958784,25514.178,.2008975,.2
2016,100751,The University of Alabama,6. Competitive+,4. Very Competitive+ and Under,1,AL,Alabama,Southeast,105100,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,1277,.18000001,6192,.1937543,31958,14424,17534,112,369,3481,1260,28,24756,862,98,992,7176,3005,4171,29,91,702,357,8,5678,191,27,93,4881,.15273172,.0035045997,.011546405,.10892421,.039426748,.00087614992,.031040741,.77464169,.0030665249,.026972901,1096,.15273133,.0040412485,.012681159,.097826086,.049749162,.0011148272,.012959866,.79124862,.0037625418,.026616499,30618,1567,1167,,,,1305,371,216,197,209,312,1055,370,211,161,129,184,21076.607,22573.379,25293.959,26693.729,27722.406,770635648,25169.365,.1937543,.19
2017,100751,The University of Alabama,6. Competitive+,4. Very Competitive+ and Under,1,AL,Alabama,Southeast,105100,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,1276,.17,5846,.17952891,32563,14451,18112,119,400,3391,1411,30,25390,957,109,756,7541,3246,4295,24,89,602,401,7,6072,262,25,59,4951,.15204373,.0036544544,.01228388,.10413659,.043331388,.00092129101,.023216534,.77971929,.0033473575,.029389184,1034,.13711709,.0031826019,.011802148,.079830259,.053175971,.00092825887,.0078238957,.80519825,.0033152101,.034743402,31279,1478,1086,,,,1226,351,203,176,187,309,987,351,199,149,120,168,20672.051,22351.072,25177.555,27098.496,27840.906,871553152,27863.844,.17952891,.18000001
2018,100751,The University of Alabama,6. Competitive+,4. Very Competitive+ and Under,1,AL,Alabama,Southeast,105100,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,1217,.16,5982,.17961267,33305,14689,18616,112,401,3382,1561,35,25999,1061,136,618,7385,3157,4228,27,87,552,390,6,5945,295,38,45,5090,.1528299,.0033628584,.012040234,.10154632,.04686984,.0010508932,.018555772,.78063351,.0040834709,.031857077,975,.13202438,.0036560595,.011780636,.07474611,.052809749,.0008124577,.0060934327,.80501014,.0051455651,.039945837,32009,1536,1082,,,,1267,339,178,216,175,359,1019,338,174,188,110,209,19977.588,22163.631,24230.984,26747.201,27189.588,912758784,28515.691,.17961267,.18000001
2019,100751,The University of Alabama,6. Competitive+,4. Very Competitive+ and Under,1,AL,Alabama,Southeast,105100,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,1145,.17,5851,.17715272,33028,14586,18442,117,393,3328,1631,35,25558,1120,165,681,6632,2889,3743,29,82,539,375,6,5194,248,34,125,5111,.15474749,.0035424489,.011898994,.10076299,.049382344,.0010597069,.020618869,.77382827,.004995761,.033910621,949,.14309409,.0043727383,.012364294,.081272617,.056544028,.00090470444,.018848009,.78317249,.0051266588,.037394453,31777,1555,1000,,,,1189,296,174,182,174,363,969,295,174,158,123,219,20501.928,21075.965,24705.873,25580.191,27066.746,883701184,27809.459,.17715272,.18000001
2020,100751,The University of Alabama,6. Competitive+,4. Very Competitive+ and Under,1,AL,Alabama,Southeast,105100,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,1158,.17,5634,.17179447,32795,14518,18277,123,402,3329,1631,37,25089,1149,168,867,6734,2879,3855,24,94,647,342,3,5247,267,28,82,5120,.15612136,.0037505717,.012257966,.10150938,.049733192,.0011282208,.026436957,.76502514,.0051227319,.03503583,1016,.15087615,.0035640036,.013959014,.096079595,.05078705,.00044550045,.012177012,.77918029,.0041580042,.039649539,31340,1614,1047,,,,1272,373,206,181,177,335,1157,372,203,165,142,275,18458.904,20471.971,22805.273,25236.545,24865.744,989566336,31575.186,.17179447,.17
2021,100751,The University of Alabama,6. Competitive+,4. Very Competitive+ and Under,1,AL,Alabama,Southeast,105100,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,1197,.19,5421,.17117146,31670,13833,17837,109,429,3330,1595,24,24301,1129,166,587,6466,2728,3738,10,98,585,337,5,5139,235,25,32,5058,.1597095,.0034417431,.013545942,.10514683,.05036312,.00075781497,.018534891,.7673192,.0052415533,.035648879,937,.14491184,.0015465512,.015156202,.090473242,.052118775,.00077327562,.0049489639,.79477268,.003866378,.036343955,30030,1224,810,,,,1360,441,194,195,187,343,1245,440,194,179,158,274,18338,20121,21957,23830,24948,1242660736,41380.645,.17117146,.17
2022,100751,The University of Alabama,6. Competitive+,4. Very Competitive+ and Under,1,AL,Alabama,Southeast,105100,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,,,,,31685,13780,17905,118,446,3422,1724,24,24192,1129,199,431,7540,3206,4334,28,104,788,458,8,5775,275,60,44,5288,.16689286,.0037241597,.014076062,.10800063,.054410603,.00075745623,.013602651,.76351583,.0062805745,.035632003,1282,.17002653,.0037135279,.013793103,.10450929,.060742706,.001061008,.0058355439,.7659151,.00795756,.036472149,,1402,989,,,,,,,,,,,,,,,,,,,,,,,,
2009,100858,Auburn University,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,100900,"Public, 4-year or above",Four or more years,Public,No,No,Yes,No,Title IV postsecondary institution,15,375,.090000004,,,20037,,,,,,,,,,,,3959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19278,1293,1167,3911,2852,.72922528,,,,,,,,,,,,,,,,,,456758144,23693.232,,
2010,100858,Auburn University,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,100900,"Public, 4-year or above",Four or more years,Public,No,No,Yes,No,Title IV postsecondary institution,15,443,.11,3065,.15381913,19926,,,,,,,,,,,,3898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19192,1337,1209,4193,3145,.7500596,823,172,108,135,175,233,,,,,,,10165.849,15097.202,17934.01,20523.813,21414.525,512201984,26688.307,.15381913,.15000001
2011,100858,Auburn University,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,100900,"Public, 4-year or above",Four or more years,Public,No,No,Yes,No,Title IV postsecondary institution,15,583,.14,3573,.17669749,20221,10397,9824,143,379,1583,510,0,17252,0,218,136,4079,1915,2164,35,84,271,168,0,3449,0,53,19,2236,.11057811,.0070718559,.018742891,.078284949,.025221305,0,.006725681,.85317242,.010780871,0,474,.11620495,.0085805347,.020593282,.066437855,.041186564,0,.0046580043,.84555036,.01299338,0,19659,1077,992,4189,3208,.76581526,906,224,121,165,180,216,,,,,,,11539.386,16203.833,19073.613,21569.756,22009.686,497469568,25304.928,.17669749,.18000001
2012,100858,Auburn University,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,100900,"Public, 4-year or above",Four or more years,Public,No,No,Yes,No,Title IV postsecondary institution,15,557,.13,3587,.17543773,20446,10430,10016,141,375,1520,580,0,17483,0,212,135,4170,2011,2159,28,67,266,160,0,3584,0,50,15,2241,.10960579,.0068962146,.018340996,.074342169,.028367408,0,.0066027585,.85508168,.010368777,0,454,.10887291,.0067146281,.016067145,.063788965,.038369305,0,.0035971224,.85947239,.011990407,0,19777,1246,1087,3835,2996,.78122556,859,193,110,166,145,245,730,193,108,152,110,167,13883.058,16610.107,19477.068,21715.621,23252.254,544113024,27512.414,.17543773,.18000001
2013,100858,Auburn University,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,100900,"Public, 4-year or above",Four or more years,Public,No,No,Yes,No,Title IV postsecondary institution,15,497,.13,3403,.1686741,20175,10259,9916,145,396,1446,569,0,17197,0,271,151,3815,1814,2001,17,92,255,112,0,3210,0,104,25,2160,.1070632,.0071871127,.019628253,.071672864,.028203221,0,.0074845105,.8523916,.013432465,0,384,.10065531,.0044560945,.024115333,.066841416,.029357798,0,.0065530799,.84141546,.027260812,0,19635,1173,1024,3691,2920,.7911135,855,207,96,147,154,251,754,207,94,137,135,181,15376.399,18967.84,21261.885,22469.521,23478.996,613293568,31234.711,.1686741,.17
2014,100858,Auburn University,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,100900,"Public, 4-year or above",Four or more years,Public,No,No,Yes,No,Title IV postsecondary institution,15,482,.13,3187,.16096772,19799,10108,9691,152,421,1413,499,0,16883,0,252,179,3696,1780,1916,33,98,230,90,0,3184,0,37,24,2064,.10424769,.0076771555,.0212637,.071367241,.025203293,0,.0090408605,.85271984,.012727915,0,353,.095508657,.0089285718,.026515152,.062229436,.024350649,0,.0064935065,.86147183,.010010823,0,19283,1052,942,4549,3580,.78698617,859,170,109,134,185,261,723,170,107,118,155,173,15777.753,18335.041,21020.252,23414.213,24761.957,677608192,35140.184,.16096772,.16
2015,100858,Auburn University,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,100900,"Public, 4-year or above",Four or more years,Public,No,No,Yes,No,Title IV postsecondary institution,15,648,.14,3364,.16307141,20629,10536,10093,151,466,1446,509,0,17455,0,288,314,4552,2217,2335,29,124,301,132,0,3880,0,52,34,2106,.10208929,.0073197926,.022589559,.070095494,.024674002,0,.01522129,.84613895,.013960929,0,462,.10149385,.0063708262,.027240774,.066124782,.028998243,0,.0074692443,.85237259,.011423551,0,20175,1270,1140,4848,3921,.80878711,1090,228,157,181,211,313,876,228,155,159,145,189,19628.123,21877.561,25321.83,27799.287,29420.523,664739392,32948.668,.16307141,.16
2016,100858,Auburn University,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,100900,"Public, 4-year or above",Four or more years,Public,No,No,Yes,No,Title IV postsecondary institution,15,621,.13,3338,.15321766,21786,11122,10664,135,538,1446,696,3,18149,122,183,514,4854,2278,2576,24,131,274,187,1,4115,35,35,52,2280,.10465436,.00619664,.024694758,.066372901,.031947121,.00013770311,.023593133,.83305794,.0083998898,.0055999267,486,.10012361,.0049443757,.026988052,.056448288,.038524929,.00020601565,.010712815,.84775442,.007210548,.007210548,21208,1250,1128,,,,1116,251,148,156,212,349,883,250,141,124,151,217,19157.988,23427.227,27321.988,28527.752,29269.934,741690048,34972.184,.15321766,.15000001
2017,100858,Auburn University,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,100900,"Public, 4-year or above",Four or more years,Public,No,No,Yes,No,Title IV postsecondary institution,15,571,.13,3374,.14890988,22658,11613,11045,114,556,1488,740,7,18309,283,131,1030,4487,2129,2358,7,106,253,162,4,3750,130,5,70,2349,.10367199,.0050313356,.024538795,.065672167,.032659546,.00030894164,.045458559,.80805898,.0057816226,.012490069,426,.094940938,.0015600624,.023623802,.056385111,.036104303,.00089146424,.015600624,.83574772,.0011143303,.028972587,22392,1226,1124,,,,1057,231,126,151,178,371,870,230,123,139,137,241,19883.033,22473.143,26145.238,28747.557,29587.621,808987712,36128.426,.14890988,.15000001
2018,100858,Auburn University,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,100900,"Public, 4-year or above",Four or more years,Public,No,No,Yes,No,Title IV postsecondary institution,15,672,.14,3684,.1537306,23964,12300,11664,102,564,1463,792,10,19137,426,96,1374,4771,2216,2555,16,105,225,172,2,4036,144,4,67,2367,.098773159,.0042563844,.023535304,.061049908,.033049576,.00041729261,.057336003,.79857284,.0040060091,.017776664,415,.08698386,.0033535946,.022007965,.047159925,.036051143,.00041919932,.014043177,.84594423,.00083839864,.030182352,23740,1173,1073,,,,1140,254,155,166,201,364,945,251,154,148,148,244,20087.645,22169.025,24935.568,28408.854,29559.061,832340672,35060.684,.1537306,.15000001
2019,100858,Auburn University,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,100900,"Public, 4-year or above",Four or more years,Public,No,No,Yes,No,Title IV postsecondary institution,15,594,.13,3583,.14548482,24628,12709,11919,91,570,1331,827,13,19509,544,87,1656,4744,2233,2511,16,110,159,159,1,4100,146,12,41,2262,.091846682,.0036949813,.023144389,.054044176,.033579666,.00052785448,.067240536,.79214716,.0035325645,.02208868,335,.070615515,.0033726813,.023187185,.03351602,.03351602,.00021079258,.0086424956,.86424959,.002529511,.030775717,24364,1167,1058,,,,1101,226,130,167,177,401,912,225,130,148,138,271,19517.258,21567.238,25549.42,28137.361,29170.84,821832832,33731.441,.14548482,.15000001
